Last Data Shown	Lease Rent	810.810810811
Last Data Shown	Count	2
Corporate Website	Loss To  Lease	27.027027027	#9b9bd7
Corporate Website	Lease Rent	1675.67567568	#218a8c
APlaceForMom.com	Loss To  Lease	0.0	#9b9bd7
APlaceForMom.com	Lease Rent	1648.64864865	#218a8c
Locator	Loss To  Lease	-27.027027027	#9b9bd7
Locator	Lease Rent	1486.48648649	#218a8c
Intercommunity Transfer	Loss To  Lease	27.027027027	#9b9bd7
Intercommunity Transfer	Lease Rent	1351.35135135	#218a8c
Google Places	Loss To  Lease	-27.027027027	#9b9bd7
Google Places	Lease Rent	1270.27027027	#218a8c
G5 Website	Loss To  Lease	-27.027027027	#9b9bd7
G5 Website	Lease Rent	1216.21621622	#218a8c
BH Website	Loss To  Lease	81.0810810811	#9b9bd7
BH Website	Lease Rent	1216.21621622	#218a8c
Outreach Marketing	Loss To  Lease	81.0810810811	#9b9bd7
Outreach Marketing	Lease Rent	1189.18918919	#218a8c
Bing PPC	Loss To  Lease	297.297297297	#9b9bd7
Bing PPC	Lease Rent	1162.16216216	#218a8c
RENTCafe.com ILS	Loss To  Lease	-54.0540540541	#9b9bd7
RENTCafe.com ILS	Lease Rent	1108.10810811	#218a8c
Promove	Loss To  Lease	-108.108108108	#9b9bd7
Promove	Lease Rent	1081.08108108	#218a8c
Zillow	Loss To  Lease	-54.0540540541	#9b9bd7
Zillow	Lease Rent	1054.05405405	#218a8c
Walk-in/Drive-By	Loss To  Lease	81.0810810811	#9b9bd7
Walk-in/Drive-By	Lease Rent	1027.02702703	#218a8c
Google.com	Loss To  Lease	0.0	#9b9bd7
Google.com	Lease Rent	1000.0	#218a8c
Walk In/Drive By	Loss To  Lease	-54.0540540541	#9b9bd7
Walk In/Drive By	Lease Rent	972.972972973	#218a8c
Walk-in/Drive By	Loss To  Lease	0.0	#9b9bd7
Walk-in/Drive By	Lease Rent	945.945945946	#218a8c
Local Listings	Loss To  Lease	-54.0540540541	#9b9bd7
Local Listings	Lease Rent	918.918918919	#218a8c
Property Website	Loss To  Lease	27.027027027	#9b9bd7
Property Website	Lease Rent	918.918918919	#218a8c
Walkin-Drive By	Loss To  Lease	189.189189189	#9b9bd7
Walkin-Drive By	Lease Rent	891.891891892	#218a8c
Resident Referral	Loss To  Lease	27.027027027	#9b9bd7
Resident Referral	Lease Rent	891.891891892	#218a8c
Outdoor Marketing(Banner/Band	Loss To  Lease	27.027027027	#9b9bd7
Outdoor Marketing(Banner/Band	Lease Rent	891.891891892	#218a8c
Google Listing	Loss To  Lease	81.0810810811	#9b9bd7
Google Listing	Lease Rent	891.891891892	#218a8c
Apartments.com	Loss To  Lease	-27.027027027	#9b9bd7
Apartments.com	Lease Rent	891.891891892	#218a8c
Walk-in/Drive-by	Loss To  Lease	27.027027027	#9b9bd7
Walk-in/Drive-by	Lease Rent	864.864864865	#218a8c
Apartment Finder.com	Loss To  Lease	-27.027027027	#9b9bd7
Apartment Finder.com	Lease Rent	864.864864865	#218a8c
Preferred Employer	Loss To  Lease	0.0	#9b9bd7
Preferred Employer	Lease Rent	864.864864865	#218a8c
Rev Local	Loss To  Lease	-81.0810810811	#9b9bd7
Rev Local	Lease Rent	837.837837838	#218a8c
