kpi1:# Occupied Units	primary	13,883
kpi1:# Occupied Units	secondary	NO_VALUE
kpi2:Avg. Months of Tenancy	primary	24.4
kpi2:Avg. Months of Tenancy	secondary	NO_VALUE
kpi3:Avg. Lease Term	primary	11.9
kpi3:Avg. Lease Term	secondary	NO_VALUE
