#FFADAA_0	Percentage	1.70295789108
#FFD18E_0	Percentage	1.68704239677
#2EBFC2_0	Percentage	5.14070466187
#2DE9FF_0	Percentage	2.51464810085
#98FF80_0	Percentage	1.95760580003
#6EDA55_0	Percentage	1.75070437401
#D2D2FF_0	Percentage	1.95760580003
#FFADAA_1	Percentage	1.41647899352
#FFD18E_1	Percentage	1.40056349921
#2EBFC2_1	Percentage	3.00802842444
#2DE9FF_1	Percentage	1.59154943092
#98FF80_1	Percentage	1.2095775675
#6EDA55_1	Percentage	0.652535266677
#D2D2FF_1	Percentage	0.445633840657
#FFADAA_2	Percentage	0.939014164242
#FFD18E_2	Percentage	1.2095775675
#2EBFC2_2	Percentage	2.16450722605
#2DE9FF_2	Percentage	4.20169049763
#98FF80_2	Percentage	1.43239448783
#6EDA55_2	Percentage	0.939014164242
#D2D2FF_2	Percentage	2.06901426019
#FFADAA_3	Percentage	1.65521140816
#FFD18E_3	Percentage	3.24676083907
#2EBFC2_3	Percentage	10.0108459205
#2DE9FF_3	Percentage	2.84887348134
#98FF80_3	Percentage	2.14859173174
#6EDA55_3	Percentage	2.91253545858
#D2D2FF_3	Percentage	2.22816920329
#FFADAA_4	Percentage	1.11408460164
#FFD18E_4	Percentage	1.48014097075
#2EBFC2_4	Percentage	3.81971863421
#2DE9FF_4	Percentage	1.59154943092
#98FF80_4	Percentage	1.43239448783
#666666_0	Percentage	25.5761993549
