#6eda55_0	Percentage	24.143804867
#000000_0	Percentage	2.86478897565
#00cee6_0	Percentage	25.6080303435
#9b9bd7_0	Percentage	17.9526775808
#218A8C_0	Percentage	11.5228178799
#fbb755_0	Percentage	5.82507091716
#fc7570_0	Percentage	11.9684517205
