Oct 2016	Avg Days to Apply	1.83121019108	#6eda55
Oct 2016	Avg Days to Move In	18.8
Apr 2017	Avg Days to Apply	4.37898089172	#6eda55
Apr 2017	Avg Days to Move In	22.4166666667
May 2017	Avg Days to Apply	3.26433121019	#6eda55
May 2017	Avg Days to Move In	16.5190839695
Jun 2017	Avg Days to Apply	1.67197452229	#6eda55
Jun 2017	Avg Days to Move In	8.73529411765
