#FFADAA_0	Percentage	5.25211312203
#FFD18E_0	Percentage	6.9232400245
#2EBFC2_0	Percentage	10.297324818
#2DE9FF_0	Percentage	5.0292962017
#98FF80_0	Percentage	6.04788783749
#6EDA55_0	Percentage	3.13535237891
#D2D2FF_0	Percentage	8.41929648956
#FFADAA_1	Percentage	1.87802832848
#FFD18E_1	Percentage	4.16985950901
#2EBFC2_1	Percentage	2.96028194151
#2DE9FF_1	Percentage	5.82507091716
#98FF80_1	Percentage	4.48816939519
#6EDA55_1	Percentage	3.9788735773
#D2D2FF_1	Percentage	2.2440846976
#FFADAA_2	Percentage	2.97619743582
#666666_0	Percentage	26.1173261614
