Jan 2017	Avg Loss to Lease	78.6713286713	#9b9bd7
Jan 2017	Avg Actual Rent	861.013986014	#218a8c
Feb 2017	Avg Loss to Lease	61.1888111888	#9b9bd7
Feb 2017	Avg Actual Rent	887.237762238	#218a8c
Mar 2017	Avg Loss to Lease	74.3006993007	#9b9bd7
Mar 2017	Avg Actual Rent	913.461538462	#218a8c
Apr 2017	Avg Loss to Lease	65.5594405594	#9b9bd7
Apr 2017	Avg Actual Rent	926.573426573	#218a8c
May 2017	Avg Loss to Lease	65.5594405594	#9b9bd7
May 2017	Avg Actual Rent	922.202797203	#218a8c
Jun 2017	Avg Loss to Lease	56.8181818182	#9b9bd7
Jun 2017	Avg Actual Rent	930.944055944	#218a8c
Aug 2017	Avg Loss to Lease	43.7062937063	#9b9bd7
Aug 2017	Avg Actual Rent	769.230769231	#218a8c
