Windscape of Naperville - 1701:Total Debt Service-Property	Oct 2016	117225.0
Windscape of Naperville - 1701:Total Other	Oct 2016	547.0
Windscape of Naperville - 1701 Total:Windscape of Naperville - 1701 Total	Oct 2016	117772.0
