Ansley Place	Budget Variance $	-1612.40310078	#fc7570
Ansley Place	Budget Variance %	-5.34293492899
Oaks at Greenview, The	Budget Variance $	-27534.8837209	#fc7570
Oaks at Greenview, The	Budget Variance %	-81.6895699309
