Last Data Shown	Actual	0.0
Last Data Shown	Count	13
Carpet - Int Apt	Actual	9.31318681319	#00cee6
Carpet - Int Apt	Budget	10.2197802198	#9b9bd7
Hard Surface Flooring - Int Apt	Actual	1.97802197802	#00cee6
Hard Surface Flooring - Int Apt	Budget	3.70879120879	#9b9bd7
Appliances - Int Apt	Actual	1.73076923077	#00cee6
Appliances - Int Apt	Budget	2.06043956044	#9b9bd7
Resurfacing/ReGlazing - Int Apt	Actual	1.56593406593	#00cee6
Resurfacing/ReGlazing - Int Apt	Budget	1.07142857143	#9b9bd7
Plumb Fixt/Sinks/GD - Int Apt	Actual	0.906593406593	#00cee6
Plumb Fixt/Sinks/GD - Int Apt	Budget	1.07142857143	#9b9bd7
Ceiling Fans - Int Apt	Actual	0.412087912088	#00cee6
Ceiling Fans - Int Apt	Budget	0.824175824176	#9b9bd7
Light Fixtures - Int Apt	Actual	0.32967032967	#00cee6
Light Fixtures - Int Apt	Budget	0.247252747253	#9b9bd7
Counters - Int Apt	Actual	0.247252747253	#00cee6
Counters - Int Apt	Budget	0.0	#9b9bd7
Wood Trim/Doors - Int Apt	Actual	0.0824175824176	#00cee6
Wood Trim/Doors - Int Apt	Budget	0.412087912088	#9b9bd7
