Ansley Place - 1536	Budget Variance $	-9922.48062016	#fc7570
Ansley Place - 1536	Budget Variance %	-36.3372715162
Oaks at Greenview, The - 1535	Budget Variance $	-41860.4651163	#fc7570
Oaks at Greenview, The - 1535	Budget Variance %	-124.778562068
