Property PK	Property Name	Operator GL PK	Operator Account Code	Operator Account Name	Primary GL PK	Primary Account Code	Primary Account Name	Month	Actual
1833	Oaks at Greenview, The	10810	1618-90	Other - Int Apt	10810	1618-90	Other - Int Apt	2017-05-01	0.00
1833	Oaks at Greenview, The	10810	1618-90	Other - Int Apt	10810	1618-90	Other - Int Apt	2017-06-01	0.00
1833	Oaks at Greenview, The	10810	1618-90	Other - Int Apt	10810	1618-90	Other - Int Apt	2017-07-01	
1833	Oaks at Greenview, The	10811		Total Recurring Capital Exp-Interiors	10811		Total Recurring Capital Exp-Interiors	2017-05-01	8691.39
1833	Oaks at Greenview, The	10811		Total Recurring Capital Exp-Interiors	10811		Total Recurring Capital Exp-Interiors	2017-06-01	1894.25
1833	Oaks at Greenview, The	10811		Total Recurring Capital Exp-Interiors	10811		Total Recurring Capital Exp-Interiors	2017-07-01	
1833	Oaks at Greenview, The	10891	1651-25	Pool Furniture - Site	10891	1651-25	Pool Furniture - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	10891	1651-25	Pool Furniture - Site	10891	1651-25	Pool Furniture - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	10891	1651-25	Pool Furniture - Site	10891	1651-25	Pool Furniture - Site	2017-07-01	
1833	Oaks at Greenview, The	10892	1651-27	Drainage - Site	10892	1651-27	Drainage - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	10892	1651-27	Drainage - Site	10892	1651-27	Drainage - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	10892	1651-27	Drainage - Site	10892	1651-27	Drainage - Site	2017-07-01	
1833	Oaks at Greenview, The	10893	1651-28	Sidewalks - Site	10893	1651-28	Sidewalks - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	10893	1651-28	Sidewalks - Site	10893	1651-28	Sidewalks - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	10893	1651-28	Sidewalks - Site	10893	1651-28	Sidewalks - Site	2017-07-01	
1833	Oaks at Greenview, The	10894	1651-32	Dumpster/Enclosures - Site	10894	1651-32	Dumpster/Enclosures - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	10894	1651-32	Dumpster/Enclosures - Site	10894	1651-32	Dumpster/Enclosures - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	10894	1651-32	Dumpster/Enclosures - Site	10894	1651-32	Dumpster/Enclosures - Site	2017-07-01	
1833	Oaks at Greenview, The	10897	1655-11	Paint - Int	10897	1655-11	Paint - Int	2017-05-01	0.00
1833	Oaks at Greenview, The	10897	1655-11	Paint - Int	10897	1655-11	Paint - Int	2017-06-01	0.00
1833	Oaks at Greenview, The	10897	1655-11	Paint - Int	10897	1655-11	Paint - Int	2017-07-01	
1833	Oaks at Greenview, The	10903	1652-51	Tennis Court - Site	10903	1652-51	Tennis Court - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	10903	1652-51	Tennis Court - Site	10903	1652-51	Tennis Court - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	10903	1652-51	Tennis Court - Site	10903	1652-51	Tennis Court - Site	2017-07-01	
1833	Oaks at Greenview, The	10904	1652-90	Other Site Impr - Site	10904	1652-90	Other Site Impr - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	10904	1652-90	Other Site Impr - Site	10904	1652-90	Other Site Impr - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	10904	1652-90	Other Site Impr - Site	10904	1652-90	Other Site Impr - Site	2017-07-01	
1833	Oaks at Greenview, The	10996	1654-90	Other Ext Bldg Impr- Ext	10996	1654-90	Other Ext Bldg Impr- Ext	2017-05-01	0.00
1833	Oaks at Greenview, The	10996	1654-90	Other Ext Bldg Impr- Ext	10996	1654-90	Other Ext Bldg Impr- Ext	2017-06-01	0.00
1833	Oaks at Greenview, The	10996	1654-90	Other Ext Bldg Impr- Ext	10996	1654-90	Other Ext Bldg Impr- Ext	2017-07-01	
1833	Oaks at Greenview, The	10997		Total Nonrec Capital Exp-Int Bldng	10997		Total Nonrec Capital Exp-Int Bldng	2017-05-01	0.00
1833	Oaks at Greenview, The	10997		Total Nonrec Capital Exp-Int Bldng	10997		Total Nonrec Capital Exp-Int Bldng	2017-06-01	0.00
1833	Oaks at Greenview, The	10997		Total Nonrec Capital Exp-Int Bldng	10997		Total Nonrec Capital Exp-Int Bldng	2017-07-01	
1833	Oaks at Greenview, The	10998	1655-15	Hallways - Int	10998	1655-15	Hallways - Int	2017-05-01	0.00
1833	Oaks at Greenview, The	10998	1655-15	Hallways - Int	10998	1655-15	Hallways - Int	2017-06-01	0.00
1833	Oaks at Greenview, The	10998	1655-15	Hallways - Int	10998	1655-15	Hallways - Int	2017-07-01	
1833	Oaks at Greenview, The	10999	1655-16	Laundry Facility - Int	10999	1655-16	Laundry Facility - Int	2017-05-01	0.00
1833	Oaks at Greenview, The	10999	1655-16	Laundry Facility - Int	10999	1655-16	Laundry Facility - Int	2017-06-01	0.00
1833	Oaks at Greenview, The	10999	1655-16	Laundry Facility - Int	10999	1655-16	Laundry Facility - Int	2017-07-01	
1833	Oaks at Greenview, The	11097	1656-08	Sub Metering - Mech	11097	1656-08	Sub Metering - Mech	2017-05-01	0.00
1833	Oaks at Greenview, The	11097	1656-08	Sub Metering - Mech	11097	1656-08	Sub Metering - Mech	2017-06-01	0.00
1833	Oaks at Greenview, The	11097	1656-08	Sub Metering - Mech	11097	1656-08	Sub Metering - Mech	2017-07-01	
1833	Oaks at Greenview, The	11098	1656-09	Water Lines - Mech	11098	1656-09	Water Lines - Mech	2017-05-01	0.00
1833	Oaks at Greenview, The	11098	1656-09	Water Lines - Mech	11098	1656-09	Water Lines - Mech	2017-06-01	0.00
1833	Oaks at Greenview, The	11098	1656-09	Water Lines - Mech	11098	1656-09	Water Lines - Mech	2017-07-01	
1833	Oaks at Greenview, The	11100	1656-90	Mech/Elect/PlumbOther - Mech	11100	1656-90	Mech/Elect/PlumbOther - Mech	2017-05-01	0.00
1833	Oaks at Greenview, The	11100	1656-90	Mech/Elect/PlumbOther - Mech	11100	1656-90	Mech/Elect/PlumbOther - Mech	2017-06-01	0.00
1833	Oaks at Greenview, The	11100	1656-90	Mech/Elect/PlumbOther - Mech	11100	1656-90	Mech/Elect/PlumbOther - Mech	2017-07-01	
1833	Oaks at Greenview, The	11101		Total Nonrec Capital Exp-Mech/Elect/Plumb	11101		Total Nonrec Capital Exp-Mech/Elect/Plumb	2017-05-01	0.00
